action step b bid tb Bcon Bstop Bswitch Bagreed s cbid ts Scon Sstop Sswitch
Seller 221 2 520 25 true false true false 3 779 24 false false true
[CBID] 222 4 520 25 true false true false 7 778 25 false false true
Seller 223 4 520 25 true false true false 4 778 25 false false true
Buyer 224 0 520 25 true false true false 4 778 25 false false true
Buyer 225 1 520 25 true false true false 4 778 25 false false true
Seller 226 1 520 25 true false true false 0 778 25 false false true
[BID] 227 6 620 26 true false true false 1 778 25 false false true
Seller 228 6 620 26 true false true false 6 778 25 false false true
Buyer 229 2 620 26 true false true false 6 778 25 false false true
Seller 230 2 620 26 true false true false 3 778 25 false false true
[CBID] 231 4 620 26 true false true false 7 777 26 false false true
Buyer 232 0 620 26 true false true false 7 777 26 false false true
Seller 233 0 620 26 true false true false 4 777 26 false false true
Buyer 234 1 620 26 true false true false 4 777 26 false false true
Seller 235 1 620 26 true false true false 0 777 26 false false true
[BID] 236 6 720 27 true false true false 1 777 26 false false true
Buyer 237 2 720 27 true false true false 1 777 26 false false true
Seller 238 2 720 27 true false true false 6 777 26 false false true
Seller 239 2 720 27 true false true false 3 777 26 false false true
[CBID] 240 4 720 27 true false true false 7 776 27 false false true
Buyer 241 3 720 27 true false true false 7 776 27 false false true
Seller 242 3 720 27 true false true false 4 776 27 false false true
Seller 243 3 720 27 true false true false 2 776 27 false false true
[PURCHASE] 244 3 720 27 true false true false 2 776 27 false false true
